[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Running: cifar10_badnets_none_split2_s42
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:41:56][cifar10_badnets_none_split2_s42][INFO] [Epoch 064][TRAIN] loss=0.1806 | train_acc=0.9352 | val_acc=0.8439 | asr=0.0154 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:58][cifar10_badnets_none_split2_s42][INFO] [Epoch 065][TRAIN] loss=0.1711 | train_acc=0.9379 | val_acc=0.8468 | asr=0.0140 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:00][cifar10_badnets_none_split2_s42][INFO] [Epoch 066][TRAIN] loss=0.1738 | train_acc=0.9375 | val_acc=0.8413 | asr=0.0162 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:02][cifar10_badnets_none_split2_s42][INFO] [Epoch 067][TRAIN] loss=0.1621 | train_acc=0.9423 | val_acc=0.8468 | asr=0.1550 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:04][cifar10_badnets_none_split2_s42][INFO] [Epoch 068][TRAIN] loss=0.1604 | train_acc=0.9435 | val_acc=0.8317 | asr=0.0739 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:06][cifar10_badnets_none_split2_s42][INFO] [Epoch 069][TRAIN] loss=0.1462 | train_acc=0.9487 | val_acc=0.8367 | asr=0.0700 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:08][cifar10_badnets_none_split2_s42][INFO] [Epoch 070][TRAIN] loss=0.1402 | train_acc=0.9499 | val_acc=0.8331 | asr=0.0963 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:10][cifar10_badnets_none_split2_s42][INFO] [Epoch 071][TRAIN] loss=0.1373 | train_acc=0.9504 | val_acc=0.8479 | asr=0.0461 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:12][cifar10_badnets_none_split2_s42][INFO] [Epoch 072][TRAIN] loss=0.1324 | train_acc=0.9529 | val_acc=0.8459 | asr=0.0253 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:14][cifar10_badnets_none_split2_s42][INFO] [Epoch 073][TRAIN] loss=0.1295 | train_acc=0.9541 | val_acc=0.8485 | asr=0.0127 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:42:15][cifar10_badnets_none_split2_s42][INFO] [Epoch 074][TRAIN] loss=0.1179 | train_acc=0.9584 | val_acc=0.8449 | asr=0.0240 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
